year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2022,GM0175,Ommen,Gemeente,7679,7716,5,319000,71,29,18,11,4,103,18457
2022,GM0177,Raalte,Gemeente,16171,15981,3,317000,69,31,24,7,4,223,38140
2022,GM0180,Staphorst,Gemeente,6063,6051,6,317000,78,22,11,11,5,129,17282
2022,GM0183,Tubbergen,Gemeente,8732,8300,6,360000,72,28,12,16,5,145,21364
2022,GM0184,Urk,Gemeente,6857,6582,4,293000,78,22,14,8,3,1634,21468
2022,GM0189,Wierden,Gemeente,9983,9759,4,338000,73,27,17,10,4,260,24643
2022,GM0193,Zwolle,Gemeente,60228,61437,3,298000,53,47,33,15,2,1181,130668
2022,GM0197,Aalten,Gemeente,12095,11612,3,265000,71,29,19,9,4,281,27100
2022,GM0200,Apeldoorn,Gemeente,74603,74995,3,306000,60,40,28,12,2,487,165611
2022,GM0202,Arnhem,Gemeente,79065,83213,4,265000,43,57,35,22,2,1677,163888
2022,GM0203,Barneveld,Gemeente,23379,22885,4,376000,68,32,19,13,4,345,60584
2022,GM0209,Beuningen,Gemeente,11346,11376,2,329000,70,30,23,8,3,602,26235
2022,GM0213,Brummen,Gemeente,9522,9189,3,310000,63,37,31,6,4,250,20890
2022,GM0214,Buren,Gemeente,11016,11299,4,380000,75,25,19,6,5,203,27155
2022,GM0216,Culemborg,Gemeente,12799,12887,2,309000,64,36,26,10,3,1004,29397
2022,GM0221,Doesburg,Gemeente,5330,5291,3,253000,53,47,39,8,4,955,11036
2022,GM0222,Doetinchem,Gemeente,26730,26332,3,259000,59,40,29,11,3,741,58546
2022,GM0225,Druten,Gemeente,8345,8036,4,313000,65,35,23,12,4,511,19178
2022,GM0226,Duiven,Gemeente,10780,10708,2,291000,67,33,27,6,3,736,24946
2022,GM0228,Ede,Gemeente,50743,50691,5,335000,65,34,21,14,2,377,119986
2022,GM0230,Elburg,Gemeente,9752,9507,3,307000,65,35,26,9,4,372,23740
2022,GM0232,Epe,Gemeente,14792,14370,4,356000,65,35,27,8,4,213,33257
2022,GM0233,Ermelo,Gemeente,11450,11419,5,367000,63,37,24,13,4,318,27258
