year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2025,GM0243,Harderwijk,Gemeente,22045,21678,3,405000,59,41,27,14,2,1286,50042
2025,GM0244,Hattem,Gemeente,5558,5352,3,444000,67,33,26,7,4,552,12745
2025,GM0246,Heerde,Gemeente,8334,8058,5,449000,69,31,24,7,4,246,19305
2025,GM0252,Heumen,Gemeente,7497,7481,2,456000,71,29,19,10,4,424,16861
2025,GM0262,Lochem,Gemeente,15659,15338,4,466000,71,29,18,11,4,161,34316
2025,GM0263,Maasdriel,Gemeente,10544,11364,3,461000,72,28,20,8,5,399,26289
2025,GM0267,Nijkerk,Gemeente,18382,18827,3,490000,70,30,23,7,3,660,45720
2025,GM0268,Nijmegen,Gemeente,87822,104361,3,387000,44,56,38,18,2,3579,189007
2025,GM0269,Oldebroek,Gemeente,9745,9647,4,396000,70,30,22,8,4,250,24417
2025,GM0273,Putten,Gemeente,10336,10133,5,517000,67,33,22,11,4,293,24953
2025,GM0274,Renkum,Gemeente,15217,15037,4,440000,63,36,21,16,4,685,31490
2025,GM0275,Rheden,Gemeente,21377,21455,5,377000,56,44,29,15,3,535,43782
2025,GM0277,Rozendaal,Gemeente,709,758,3,788000,89,11,6,4,4,66,1836
2025,GM0279,Scherpenzeel,Gemeente,4265,4266,3,442000,73,27,17,10,4,764,10539
2025,GM0281,Tiel,Gemeente,18752,19269,3,358000,57,43,34,10,3,1298,42575
2025,GM0285,Voorst,Gemeente,10929,10689,4,459000,68,32,23,8,4,208,25567
2025,GM0289,Wageningen,Gemeente,19040,25159,4,362000,43,57,41,17,2,1407,42790
2025,GM0293,Westervoort,Gemeente,6838,6795,2,333000,60,40,31,9,3,2168,15205
2025,GM0294,Winterswijk,Gemeente,13515,13166,4,312000,70,29,17,13,3,212,29232
2025,GM0296,Wijchen,Gemeente,18807,18388,3,397000,68,32,25,7,3,634,41836
2025,GM0297,Zaltbommel,Gemeente,12323,12759,4,404000,67,33,24,9,4,387,30412
2025,GM0299,Zevenaar,Gemeente,20924,20688,3,334000,64,36,28,8,3,488,45215
2025,GM0301,Zutphen,Gemeente,23653,23156,4,334000,57,43,30,13,2,1198,49028
2025,GM0302,Nunspeet,Gemeente,11822,11671,4,451000,66,34,23,12,4,228,29393
2025,GM0303,Dronten,Gemeente,18702,19491,4,371000,68,32,24,8,4,134,44856
2025,GM0307,Amersfoort,Gemeente,72367,73602,3,446000,58,42,29,13,2,2613,163298
2025,GM0308,Baarn,Gemeente,11947,11318,6,508000,62,38,25,13,2,774,25184
